,date,open,close,high,low,volume,code
111,2013-06-27,5.41,5.273,5.492,5.24,835867.0,000001
112,2013-06-28,5.218,5.476,5.569,5.108,926643.0,000001
113,2013-07-01,5.388,5.355,5.465,5.185,800196.0,000001
114,2013-07-02,5.372,5.273,5.382,5.146,813753.0,000001
115,2013-07-03,5.245,5.124,5.245,5.091,771158.0,000001
116,2013-07-04,5.064,5.146,5.256,4.949,805159.0,000001
117,2013-07-05,5.135,5.146,5.256,5.13,641446.0,000001
118,2013-07-08,5.042,4.938,5.086,4.927,595006.0,000001
119,2013-07-09,4.949,4.943,5.004,4.927,512150.0,000001
120,2013-07-10,4.949,5.163,5.163,4.938,747241.0,000001
121,2013-07-11,5.218,5.679,5.679,5.218,1733611.0,000001
122,2013-07-12,5.767,5.679,5.954,5.635,2118543.0,000001
123,2013-07-15,5.767,5.772,5.91,5.514,1341659.0,000001
124,2013-07-16,5.685,5.701,5.734,5.569,1016227.0,000001
125,2013-07-17,5.696,5.569,5.745,5.547,673688.0,000001
126,2013-07-18,5.536,5.393,5.591,5.372,806687.0,000001
127,2013-07-19,5.393,5.179,5.437,5.168,827367.0,000001
128,2013-07-22,5.069,5.174,5.218,5.009,658377.0,000001
129,2013-07-23,5.201,5.47,5.624,5.168,1247443.0,000001
130,2013-07-24,5.377,5.361,5.426,5.245,899721.0,000001
131,2013-07-25,5.377,5.388,5.503,5.328,689874.0,000001
132,2013-07-26,5.333,5.295,5.361,5.245,465050.0,000001
133,2013-07-29,5.201,5.168,5.229,5.141,498130.0,000001
134,2013-07-30,5.218,5.317,5.454,5.196,674541.0,000001
135,2013-07-31,5.388,5.267,5.487,5.245,454468.0,000001
136,2013-08-01,5.35,5.448,5.448,5.278,762750.0,000001
137,2013-08-02,5.503,5.393,5.547,5.377,577417.0,000001
138,2013-08-05,5.393,5.459,5.459,5.366,531430.0,000001
139,2013-08-06,5.421,5.448,5.492,5.372,596179.0,000001
140,2013-08-07,5.426,5.454,5.558,5.41,743764.0,000001
141,2013-08-08,5.415,5.432,5.52,5.399,545859.0,000001
142,2013-08-09,5.476,5.41,5.503,5.355,497634.0,000001
143,2013-08-12,5.426,5.674,5.739,5.41,1348363.0,000001
144,2013-08-13,5.663,5.767,5.8,5.63,1203496.0,000001
145,2013-08-14,5.772,5.729,5.948,5.701,1164744.0,000001
146,2013-08-15,5.723,5.602,5.778,5.591,586756.0,000001
147,2013-08-16,5.591,5.811,6.162,5.498,2531434.0,000001
148,2013-08-19,5.613,5.926,6.014,5.613,1585603.0,000001
149,2013-08-20,5.882,6.042,6.179,5.816,1531867.0,000001
150,2013-08-21,6.025,5.992,6.096,5.904,626804.0,000001
151,2013-08-22,5.965,6.014,6.179,5.937,790806.0,000001
152,2013-08-23,6.014,5.833,6.08,5.734,1043961.0,000001
153,2013-08-26,5.838,5.987,6.014,5.767,743274.0,000001
154,2013-08-27,5.981,5.976,6.053,5.91,586884.0,000001
155,2013-08-28,5.899,5.838,5.954,5.783,682203.0,000001
156,2013-08-29,5.932,5.844,5.981,5.822,551253.0,000001
157,2013-08-30,5.789,5.827,5.959,5.778,520290.0,000001
158,2013-09-02,5.899,5.904,5.948,5.838,500231.0,000001
159,2013-09-03,5.926,6.151,6.151,5.888,1157571.0,000001
160,2013-09-04,6.129,6.086,6.261,6.069,892620.0,000001
161,2013-09-05,6.086,6.058,6.113,6.031,343230.0,000001
162,2013-09-09,6.195,6.662,6.662,6.195,2204493.0,000001
163,2013-09-10,6.821,6.832,6.948,6.585,2085294.0,000001
164,2013-09-11,6.81,6.97,7.222,6.701,1708230.0,000001
165,2013-09-12,6.876,7.398,7.612,6.81,1830540.0,000001
166,2013-09-13,7.266,7.255,7.524,7.157,1191319.0,000001
167,2013-09-16,7.261,7.25,7.492,6.959,1434366.0,000001
168,2013-09-17,7.222,7.025,7.343,7.003,940026.0,000001
169,2013-09-18,7.003,7.025,7.135,6.871,617002.0,000001
170,2013-09-23,7.03,7.074,7.124,6.931,723795.0,000001
171,2013-09-24,7.063,6.739,7.069,6.574,1456189.0,000001
172,2013-09-25,6.69,6.607,6.838,6.58,779930.0,000001
173,2013-09-26,6.569,6.404,6.569,6.316,860711.0,000001
174,2013-09-27,6.388,6.536,6.596,6.371,687519.0,000001
175,2013-09-30,6.536,6.525,6.613,6.492,373601.0,000001
176,2013-10-08,6.525,6.706,6.778,6.322,737574.0,000001
177,2013-10-09,6.657,6.893,7.003,6.602,844084.0,000001
178,2013-10-10,6.92,6.745,7.003,6.701,776268.0,000001
179,2013-10-11,6.816,6.97,7.019,6.789,922986.0,000001
180,2013-10-14,6.92,6.86,6.97,6.849,552939.0,000001
181,2013-10-15,6.86,6.706,6.865,6.662,484463.0,000001
182,2013-10-16,6.673,6.596,6.679,6.552,452396.0,000001
183,2013-10-17,6.662,6.591,6.723,6.591,313615.0,000001
184,2013-10-18,6.596,6.701,6.832,6.569,515652.0,000001
185,2013-10-21,6.706,6.772,6.8,6.602,603012.0,000001
186,2013-10-22,6.745,6.618,6.745,6.596,514900.0,000001
187,2013-10-23,6.684,6.909,7.228,6.679,1543357.0,000001
188,2013-10-24,6.926,7.14,7.222,6.81,1477784.0,000001
189,2013-10-25,7.102,7.376,7.579,7.063,1441107.0,000001
190,2013-10-28,7.36,7.211,7.371,7.124,878762.0,000001
191,2013-10-29,7.222,7.755,7.909,7.222,2141540.0,000001
192,2013-10-30,7.689,7.909,7.958,7.585,1325822.0,000001
193,2013-10-31,7.827,7.634,7.865,7.552,1112968.0,000001
194,2013-11-01,7.623,7.618,7.75,7.497,844921.0,000001
195,2013-11-04,7.678,7.448,7.739,7.398,739668.0,000001
196,2013-11-05,7.305,7.503,7.519,7.118,987035.0,000001
197,2013-11-06,7.365,7.222,7.404,7.173,715289.0,000001
198,2013-11-07,7.255,7.288,7.393,7.195,686503.0,000001
199,2013-11-08,7.195,7.321,7.437,7.184,720081.0,000001
